Final Column,Original Column,Note,Date Created,Group,Votes,Retro Date,Technique Name,Wrap Up Participants,Wrap Up Average Rating
,What Didn't Go Well?,,2026-05-27T04:13:50.016Z,,,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,all crud functions are pretty much done,2026-05-27T04:37:16.574Z,pipeline,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,"We have a roadmap now, and we just need to keep developing, update, and fix",2026-05-27T04:37:22.480Z,,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,"We were able to connect and align back end and frontend, fixed on concept",2026-05-27T04:37:23.521Z,plan,1,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,Build pipeline is easy to use,2026-05-27T04:37:27.405Z,pipeline,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Didn't Go Well?,What Didn't Go Well?,the connection of backend and frontend,2026-05-27T04:37:29.512Z,connection,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,We at least have a working website,2026-05-27T04:37:29.505Z,plan,1,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
,What Didn't Go Well?,,2026-05-27T04:37:34.131Z,,,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,api endpoints are set up,2026-05-27T04:37:38.935Z,,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,frontend successfully connected to the backend,2026-05-27T04:37:42.161Z,plan,1,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Didn't Go Well?,What Didn't Go Well?,Communication as a whole team,2026-05-27T04:37:43.598Z,connection,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Didn't Go Well?,What Didn't Go Well?,access to database without access to backend,2026-05-27T04:37:46.824Z,connection,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Didn't Go Well?,What Didn't Go Well?,"The backend was confusing, especially when I tried to run it locally",2026-05-27T04:37:47.858Z,,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Didn't Go Well?,What Didn't Go Well?,"Constant changes make it difficult to follow for teams, however as we run into issues those are a bit inevitable.",2026-05-27T04:37:55.583Z,changes,1,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Went Well?,What Went Well?,each team goes well individually but not when put together,2026-05-27T04:37:57.364Z,,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Didn't Go Well?,What Didn't Go Well?,a lot of changes/updates need to be made across all teams,2026-05-27T04:38:00.674Z,changes,1,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
What Didn't Go Well?,What Didn't Go Well?,"time conflict with other courses, too much worklad adding up together",2026-05-27T04:38:21.000Z,connection,0,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
,What Went Well?,,2026-05-27T04:38:26.140Z,,,2026-05-27T04:47:29.874Z,"What Went Well, What Didn't go Well",1,3
